name,noCustomers,meta-heuristic,meta-heuristic+dp
Golden_1.vrp,5457.1618,5457.1618,
Golden_10.vrp,777.399,777.399,
Golden_11.vrp,948.3961,948.3961,
Golden_12.vrp,1157.3508,1157.3508,
Golden_13.vrp,900.5418,900.5418,
Golden_14.vrp,1134.9758,1133.4032,
Golden_15.vrp,1399.3717,1399.3153,
Golden_16.vrp,1703.2504,1703.2504,
Golden_17.vrp,716.1288,715.4389,
Golden_18.vrp,1022.9327,1022.7296,
Golden_19.vrp,1388.2477,1388.021,
Golden_2.vrp,8501.7228,8501.7228,
Golden_20.vrp,1869.9338,1869.4037,
Golden_3.vrp,11241.9754,11241.9754,
Golden_4.vrp,13812.7491,13812.7491,
Golden_5.vrp,6654.002,6654.002,
Golden_6.vrp,8649.7184,8649.7184,
Golden_7.vrp,10231.4724,10231.4724,
Golden_8.vrp,11903.2514,11903.2514,
Golden_9.vrp,601.2193,601.2193,
