name,noCustomers,meta-heuristic,meta-heuristic+dp
X-n1001-k43.vrp,76100.08 ,76100.08 ,
X-n101-k25.vrp,34615.86 ,29555.62 ,
X-n106-k14.vrp,26856.84 ,26856.84 ,
X-n110-k13.vrp,15162.11 ,15161.07 ,
X-n115-k10.vrp,12892.97 ,12892.97 ,
X-n120-k6.vrp,13429.48 ,13429.48 ,
X-n125-k30.vrp,57468.72 ,57434.00 ,
X-n129-k18.vrp,29326.76 ,29325.68 ,
X-n134-k13.vrp,11060.99 ,11060.99 ,
X-n139-k10.vrp,13952.32 ,13952.32 ,
X-n143-k7.vrp,16169.99 ,16169.99 ,
X-n148-k46.vrp,46219.85 ,46215.43 ,
X-n153-k22.vrp,21769.41 ,21740.95 ,
X-n157-k13.vrp,16977.38 ,16963.00 ,
X-n162-k11.vrp,14559.18 ,14559.18 ,
X-n167-k10.vrp,21006.17 ,20966.29 ,
X-n172-k51.vrp,53489.08 ,53444.46 ,
X-n176-k26.vrp,48845.46 ,48844.35 ,
X-n181-k23.vrp,25701.56 ,25701.56 ,
X-n186-k15.vrp,24389.62 ,24386.07 ,
X-n190-k8.vrp,17134.79 ,17134.79 ,
X-n195-k51.vrp,58384.56 ,47361.40 ,
X-n200-k36.vrp,61978.35 ,61858.72 ,
X-n204-k19.vrp,19743.82 ,19736.01 ,
X-n209-k16.vrp,31567.58 ,31567.58 ,
X-n214-k11.vrp,11258.26 ,11255.47 ,
X-n219-k73.vrp,119727.95 ,119727.95 ,
X-n223-k34.vrp,42344.66 ,42310.92 ,
X-n228-k23.vrp,26049.05 ,26035.48 ,
X-n233-k16.vrp,26632.73 ,21323.68 ,
X-n237-k14.vrp,27301.79 ,27301.79 ,
X-n242-k48.vrp,87490.15 ,87319.50 ,
X-n247-k50.vrp,37947.74 ,37945.06 ,
X-n251-k28.vrp,39809.17 ,39809.17 ,
X-n256-k16.vrp,20090.20 ,20066.99 ,
X-n261-k13.vrp,27044.67 ,27042.71 ,
X-n266-k58.vrp,88460.03 ,83125.77 ,
X-n270-k35.vrp,54695.72 ,39315.33 ,
X-n275-k28.vrp,21601.33 ,21600.92 ,
X-n280-k17.vrp,33750.62 ,33748.94 ,
X-n284-k15.vrp,21062.85 ,21057.54 ,
X-n289-k60.vrp,117948.34 ,106896.49 ,
X-n294-k50.vrp,54394.08 ,54214.81 ,
X-n298-k31.vrp,35885.75 ,35874.89 ,
X-n303-k21.vrp,22177.08 ,22171.04 ,
X-n308-k13.vrp,26355.67 ,26355.67 ,
X-n313-k71.vrp,116399.08 ,105957.32 ,
X-n317-k53.vrp,79234.14 ,79178.47 ,
X-n322-k28.vrp,31484.69 ,31414.61 ,
X-n327-k20.vrp,28592.51 ,28580.38 ,
X-n331-k15.vrp,31550.40 ,31550.40 ,
X-n336-k84.vrp,165458.68 ,159909.28 ,
X-n344-k43.vrp,44474.60 ,44448.98 ,
X-n351-k40.vrp,28205.05 ,28149.64 ,
X-n359-k29.vrp,53108.12 ,53104.96 ,
X-n367-k17.vrp,23278.72 ,23278.72 ,
X-n376-k94.vrp,150418.42 ,150372.83 ,
X-n384-k52.vrp,85077.21 ,73402.82 ,
X-n393-k38.vrp,40063.46 ,40039.72 ,
X-n401-k29.vrp,68211.02 ,68199.89 ,
X-n411-k19.vrp,20203.00 ,20202.83 ,
X-n420-k130.vrp,116325.33 ,116281.93 ,
X-n429-k61.vrp,71565.17 ,71398.78 ,
X-n439-k37.vrp,37025.17 ,37022.80 ,
X-n449-k29.vrp,59422.96 ,59387.21 ,
X-n459-k26.vrp,25164.12 ,25161.60 ,
X-n469-k138.vrp,286091.67 ,236691.29 ,
X-n480-k70.vrp,95211.42 ,95045.33 ,
X-n491-k59.vrp,72446.55 ,72388.37 ,
X-n502-k39.vrp,69943.37 ,69927.55 ,
X-n513-k21.vrp,25012.67 ,25012.67 ,
X-n524-k153.vrp,168068.11 ,157069.55 ,
X-n536-k96.vrp,126190.23 ,120174.38 ,
X-n548-k50.vrp,87782.54 ,87773.93 ,
X-n561-k42.vrp,44346.66 ,44320.63 ,
X-n573-k30.vrp,51780.21 ,51759.18 ,
X-n586-k159.vrp,245731.53 ,213069.97 ,
X-n599-k92.vrp,163211.62 ,125212.43 ,
X-n613-k62.vrp,63617.66 ,63552.71 ,
X-n627-k43.vrp,66775.62 ,66729.96 ,
X-n641-k35.vrp,66185.50 ,66168.86 ,
X-n655-k131.vrp,109188.27 ,109135.14 ,
X-n670-k130.vrp,157590.48 ,157361.73 ,
X-n685-k75.vrp,75178.82 ,75102.14 ,
X-n701-k44.vrp,85353.27 ,85331.87 ,
X-n716-k35.vrp,45461.83 ,45452.45 ,
X-n733-k159.vrp,158342.06 ,158074.23 ,
X-n749-k98.vrp,84624.78 ,84517.61 ,
X-n766-k71.vrp,118588.67 ,118537.24 ,
X-n783-k48.vrp,76077.02 ,76051.88 ,
X-n801-k40.vrp,75165.61 ,75145.44 ,
X-n819-k171.vrp,234474.93 ,174955.17 ,
X-n837-k142.vrp,239028.41 ,221925.64 ,
X-n856-k95.vrp,90973.13 ,90906.88 ,
X-n876-k59.vrp,103263.10 ,103252.87 ,
X-n895-k37.vrp,78889.38 ,73348.23 ,
X-n916-k207.vrp,404203.37 ,365341.60 ,
X-n936-k151.vrp,160598.17 ,144382.05 ,
X-n957-k87.vrp,87856.07 ,87832.47 ,
X-n979-k58.vrp,124586.73 ,124566.92 ,
